Sr.No,Mobile Brand,Avg Rating
1,Samsung,3
2,Apple,5
3,Motorola,3
4,Motorola,2.7
5,Motorola,3.3
6,Motorola,3.1
7,Nokia,2.7
8,Samsung,3
9,Samsung,2.9
10,Motorola,2.7
11,Motorola,3.6
12,Samsung,3.3
13,Samsung,2.6
14,Samsung,3.6
15,Motorola,2.9
16,Samsung,3.4
17,Samsung,3.6
18,Samsung,3.2
19,Samsung,3.5
20,Samsung,3.4
21,Nokia,3
22,Samsung,3.1
23,Samsung,3.1
24,Samsung,4.1
25,Samsung,3.7
26,Samsung,3.1
27,Samsung,2.5
28,Samsung,3.4
29,Motorola,2.8
30,Nokia,3.2
31,Samsung,3.7
32,Motorola,1
33,Motorola,3
34,Motorola,3.9
35,Nokia,3.4
36,Nokia,3
37,Samsung,2.9
38,Nokia,3.4
39,Nokia,3.6
40,Nokia,3
41,Samsung,2.4
42,Samsung,3.8
43,Samsung,3.5
44,Samsung,3.8
45,Samsung,3.2
46,Nokia,3.2
47,Nokia,3.2
48,HUAWEI,3.1
49,Samsung,3.5
50,Nokia,3.8
51,Samsung,3.7
52,Nokia,2.1
53,Samsung,3.4
54,Samsung,3.7
55,Samsung,3.9
56,Nokia,2.7
57,Samsung,3.5
58,Samsung,3.4
59,Samsung,4
60,Motorola,3.5
61,Motorola,4
62,Nokia,3.8
63,Nokia,3.5
64,Samsung,3.7
65,Samsung,3.3
66,Samsung,3.2
67,Samsung,3.8
68,Motorola,4.1
69,Samsung,3.3
70,Motorola,4
71,Nokia,3.5
72,Samsung,3.2
73,Sony,3.2
74,Motorola,4.1
75,Motorola,3.5
76,Samsung,3.1
77,Samsung,3.2
78,Samsung,3.2
79,Samsung,3.4
80,Motorola,3.9
81,Nokia,3.2
82,Samsung,2.8
83,Motorola,3.1
84,Samsung,3.6
85,Motorola,3.6
86,Nokia,3.3
87,Samsung,3.3
88,Samsung,1
89,Samsung,2.6
90,Motorola,3.8
91,Nokia,3.8
92,Samsung,3.5
93,Samsung,3.5
94,Apple,2.7
95,Samsung,3.1
96,Apple,2.8
97,Samsung,3.7
98,Samsung,2.9
99,Samsung,2.3
100,Samsung,2.8
101,Motorola,3.7
102,Samsung,3.7
103,Sony,3.1
104,Sony,3
105,Samsung,3.3
106,Samsung,3.9
107,Samsung,3.6
108,Samsung,4.1
109,Samsung,3.2
110,Samsung,2.8
111,Motorola,3.5
112,Samsung,3.4
113,Nokia,2.9
114,Samsung,3.6
115,Samsung,3.3
116,Motorola,2.8
117,Samsung,3.7
118,HUAWEI,3.3
119,Motorola,3.3
120,Motorola,3.8
121,Apple,2.5
122,Samsung,3.5
123,Motorola,3.1
124,Samsung,3.3
125,Samsung,3.2
126,Samsung,3.6
127,Samsung,3.8
128,Samsung,2.7
129,Samsung,3.4
130,Samsung,3.9
131,Apple,3.8
132,Samsung,3.3
133,Samsung,3.1
134,Samsung,3.5
135,Samsung,3.5
136,Samsung,3.8
137,Samsung,2.9
138,Samsung,3.6
139,Samsung,3.2
140,Samsung,3.7
141,Samsung,3.2
142,Motorola,3.5
143,Motorola,3.5
144,Samsung,3.9
145,Samsung,3.2
146,,3.9
147,Samsung,3.6
148,Samsung,3.5
149,Samsung,3.8
150,Sony,3.6
151,Sony,3.9
152,Sony,3.8
153,Samsung,3.9
154,Apple,3.8
155,Samsung,3.6
156,Motorola,3.3
157,Samsung,3.4
158,Motorola,3.4
159,Samsung,3.7
160,Samsung,2.9
161,Samsung,3.8
162,Motorola,3
163,Samsung,2.9
164,Samsung,2.5
165,Apple,4.1
166,Motorola,3.2
167,Samsung,2.9
168,Samsung,3.3
169,Motorola,3
170,Sony,3.9
171,Google,3.9
172,Apple,4.1
173,Samsung,4
174,Google,3.5
175,Google,3.4
176,Google,3.8
177,Sony,3.6
178,Samsung,3.2
179,HUAWEI,4.2
180,Motorola,4.1
181,Samsung,3.5
182,Samsung,3.7
183,Samsung,3.1
184,Motorola,3.3
185,Motorola,3.5
186,Samsung,3.6
187,Google,3.9
188,Samsung,3.9
189,Samsung,3.8
190,Apple,3.7
191,Apple,3.6
192,Google,3
193,Samsung,3.2
194,Apple,4.6
195,Samsung,3.7
196,Samsung,3.7
197,Samsung,3.8
198,Apple,3.5
199,Samsung,4
200,Samsung,3.3
201,Samsung,3.2
202,Samsung,3.6
203,Samsung,3.2
204,Samsung,5
205,Sony,3
206,Apple,3.9
207,Apple,3.5
208,Sony,3.7
209,Samsung,1
210,Apple,3.8
211,Apple,3.5
212,Apple,3.7
213,Apple,3.6
214,Apple,4.1
215,Apple,3.8
216,Samsung,3.6
217,Apple,4
218,Apple,3.8
219,Samsung,3.5
220,Samsung,3.5
221,Samsung,3.5
222,Samsung,3
223,Samsung,4
224,Samsung,3.9
225,Samsung,3.1
226,Samsung,4
227,Samsung,3.1
228,Samsung,4.1
229,Samsung,4
230,Samsung,4
231,Samsung,3.6
232,Samsung,3.7
233,Samsung,2.5
234,Samsung,3.5
235,Samsung,2.8
236,Samsung,3.5
237,Sony,4
238,Samsung,4.1
239,Samsung,5
240,HUAWEI,3.2
241,Motorola,3.8
242,Samsung,4.1
243,Samsung,4
244,Sony,3.6
245,Apple,3.5
246,Samsung,3.6
247,Samsung,3.7
248,Motorola,4.1
249,Apple,3.8
250,Samsung,3.5
251,Nokia,3.7
252,Samsung,3.2
253,Samsung,3.7
254,Samsung,3.8
255,Samsung,2.9
256,Samsung,2.4
257,Google,3.3
258,Samsung,3.7
259,Samsung,3.2
260,Google,2.9
261,Samsung,3.9
262,Motorola,3.2
263,Samsung,3.7
264,Motorola,4.2
265,Apple,3.8
266,Google,3.2
267,Apple,3.5
268,Samsung,2.5
269,Apple,3.9
270,Samsung,1
271,Samsung,4.5
272,Samsung,4.2
273,Samsung,3.6
274,Samsung,5
275,HUAWEI,4.1
276,Sony,3.8
277,Samsung,2.8
278,Motorola,4.4
279,Motorola,4.5
280,Motorola,4.1
281,Motorola,3.5
282,Motorola,3.9
283,Samsung,3.9
284,Samsung,2.9
285,Nokia,3
286,Samsung,5
287,Nokia,3.4
288,Nokia,3.1
289,Samsung,4.1
290,Sony,3.7
291,Motorola,3.7
292,Samsung,4.4
293,Samsung,5
294,Samsung,3.6
295,Samsung,2.6
296,Samsung,3.7
297,Samsung,3.8
298,Samsung,3.3
299,Apple,3.8
300,Samsung,4.1
301,Google,4
302,Google,4
303,Google,4.1
304,Google,3.7
305,Nokia,4
306,Nokia,3.7
307,Samsung,3.9
308,Apple,4.1
309,Samsung,4.1
310,Google,3.5
311,Google,3.7
312,Samsung,4
313,Apple,4
314,Apple,3.9
315,Apple,4
316,Apple,4
317,Apple,4
318,Apple,4.2
319,Apple,3.9
320,Apple,3.8
321,HUAWEI,3.3
322,Samsung,3.2
323,Samsung,4
324,Apple,4.2
325,Samsung,4
326,Apple,3.6
327,Apple,2.1
328,Apple,3.6
329,Samsung,2.5
330,Samsung,3.3
331,Apple,3.8
332,Samsung,3.8
333,Sony,3.8
334,Sony,3.8
335,Samsung,4
336,Google,3.7
337,Samsung,4.2
338,Samsung,4
339,Samsung,3.9
340,Apple,3.2
341,Samsung,4
342,Google,3.7
343,Motorola,3.5
344,Apple,5
345,Apple,3.3
346,Samsung,3.9
347,ASUS,3.5
348,HUAWEI,4.3
349,Sony,3.7
350,Samsung,3.2
351,Google,4.1
352,Google,4.1
353,HUAWEI,2.6
354,Samsung,4.1
355,Apple,3.9
356,HUAWEI,4.4
357,Google,3.3
358,Google,4
359,Google,4.1
360,Nokia,3.8
361,Nokia,3.8
362,HUAWEI,3.9
363,Samsung,3.3
364,Samsung,4.3
365,Samsung,2.4
366,Samsung,2
367,HUAWEI,3
368,Samsung,3.9
369,Sony,3.9
370,Samsung,4.3
371,Samsung,3.5
372,Samsung,3.8
373,Samsung,3.8
374,Samsung,4.2
375,Samsung,3.6
376,Samsung,4.4
377,Samsung,2.7
378,Samsung,3.9
379,Samsung,3.9
380,HUAWEI,3.7
381,Motorola,4.1
382,Samsung,3.1
383,Sony,4.5
384,Google,3.5
385,Samsung,4.1
386,Samsung,4
387,HUAWEI,4.4
388,Samsung,4.1
389,HUAWEI,3.5
390,Apple,4.2
391,Samsung,3.2
392,Motorola,3.8
393,Motorola,4.1
394,Motorola,3.8
395,Samsung,2.1
396,ASUS,4.3
397,HUAWEI,4.3
398,Google,4.2
399,Apple,3.9
400,Apple,4.4
401,Apple,3.9
402,OnePlus,1
403,OnePlus,4.4
404,Nokia,3.5
405,Nokia,3.9
406,Sony,4.1
407,Samsung,4.3
408,Samsung,5
409,Samsung,4.2
410,HUAWEI,4
411,Xiaomi,5
412,Samsung,3.8
413,Apple,5
414,Sony,4
415,Xiaomi,4.2
416,Motorola,2
417,Nokia,2.9
418,Samsung,3.7
419,Samsung,4
420,Samsung,4.1
421,Samsung,3
422,Apple,4
423,Motorola,3.8
424,Xiaomi,4.2
425,Samsung,3.2
426,Xiaomi,4.3
427,Samsung,3.4
428,Samsung,4.3
429,Samsung,4.4
430,Samsung,3.8
431,Motorola,3
432,Samsung,4.1
433,Samsung,4.2
434,Samsung,4.4
435,Xiaomi,4.5
436,Samsung,4.1
437,ASUS,5
438,Motorola,3.6
439,Samsung,3.6
440,Samsung,4.8
441,Samsung,3.8
442,ASUS,2.8
443,Samsung,3.2
444,Samsung,3.4
445,Xiaomi,4.3
446,Samsung,3.6
447,Sony,4.1
448,Xiaomi,4.1
449,Samsung,4.1
450,Samsung,4.1
451,Motorola,3.8
452,Samsung,3.2
453,Samsung,1
454,Samsung,3.3
455,Nokia,3.3
456,Samsung,4.2
457,Motorola,3.2
458,Nokia,3.7
459,Xiaomi,4.3
460,Google,4
461,Apple,3.7
462,Google,3.9
463,Motorola,5
464,Sony,3.9
465,Motorola,4
466,Samsung,3.6
467,Motorola,3.5
468,HUAWEI,4.4
469,Samsung,4
470,Samsung,3.6
471,Motorola,3.9
472,HUAWEI,4
473,,3.9
474,Samsung,3.9
475,Samsung,4.1
476,Xiaomi,4.5
477,HUAWEI,4.5
478,Samsung,5
479,Google,3.8
480,Samsung,3.2
481,Samsung,4.2
482,Samsung,3.9
483,HUAWEI,4.6
484,Samsung,4
485,Google,4.5
486,Samsung,3.3
487,Samsung,3.4
488,Xiaomi,4
489,OnePlus,4.2
490,Samsung,4.2
491,Samsung,4.5
492,Apple,4.1
493,Google,3.1
494,Samsung,3.6
495,Apple,3.9
496,Samsung,3.7
497,Samsung,4.3
498,Samsung,4.1
499,Samsung,4.1
500,Samsung,3.8
501,Google,1.4
502,Nokia,2.7
503,Samsung,3.2
504,Nokia,3.4
505,Samsung,4.7
506,Samsung,3.6
507,Motorola,4.1
508,Motorola,4.1
509,Samsung,3.8
510,Motorola,4.2
511,HUAWEI,4.5
512,Motorola,4.1
513,Sony,3.5
514,Nokia,3.8
515,Samsung,4.2
516,Nokia,3.9
517,Xiaomi,4.3
518,Motorola,5
519,Motorola,4.1
520,Motorola,3.1
521,Motorola,4.1
522,Samsung,4.3
523,Google,4.6
524,HUAWEI,4.2
525,Google,3.8
526,Samsung,1
527,Motorola,4.1
528,Motorola,4
529,Motorola,4
530,Samsung,3.8
531,Samsung,1
532,Samsung,5
533,Motorola,5
534,Samsung,4.4
535,Samsung,4
536,Samsung,5
537,Motorola,4.2
538,Samsung,3.9
539,Samsung,4.5
540,Samsung,4.3
541,Samsung,4.4
542,Samsung,4.5
543,Samsung,5
544,Apple,4.4
545,Google,4
546,Samsung,4
547,Samsung,5
548,Samsung,4
549,Samsung,4.4
550,Sony,4.5
551,HUAWEI,4
552,OnePlus,4.3
553,Motorola,3.7
554,Nokia,3.3
555,Samsung,3.6
556,Samsung,4.2
557,HUAWEI,3.4
558,Xiaomi,4.4
559,Xiaomi,4.4
560,Motorola,4
561,Xiaomi,4.5
562,HUAWEI,4.2
563,HUAWEI,4.5
564,Xiaomi,4.5
565,Apple,3.6
566,Samsung,4.2
567,Xiaomi,4.3
568,Samsung,4.1
569,Xiaomi,4.4
570,Samsung,3.3
571,Xiaomi,4.4
572,Samsung,4.3
573,Motorola,2.9
574,Samsung,4
575,Xiaomi,4.4
576,Samsung,4.1
577,Xiaomi,4.5
578,Samsung,3.7
579,Samsung,4.1
580,Samsung,4.3
581,HUAWEI,4.3
582,Xiaomi,4.1
583,Samsung,4
584,Motorola,4.3
585,Motorola,3.7
586,Samsung,3.7
587,Samsung,4.2
588,Samsung,3.5
589,Samsung,4.2
590,Nokia,3.3
591,Motorola,3
592,HUAWEI,4.6
593,HUAWEI,5
594,Xiaomi,4.5
595,Samsung,5
596,Xiaomi,4.7
597,Google,4.3
598,Motorola,3.7
599,OnePlus,4.4
600,Apple,4.1
601,Motorola,4
602,Motorola,2.9
603,Motorola,2.9
604,Samsung,4.1
605,Apple,4.2
606,Samsung,3.8
607,Samsung,3.9
608,Motorola,1
609,Motorola,3.7
610,Apple,3.9
611,Samsung,4.4
612,Samsung,4.5
613,HUAWEI,4.4
614,OnePlus,4.5
615,Samsung,5
616,Samsung,4
617,Motorola,4.3
618,Samsung,4.2
619,Samsung,4.2
620,Samsung,3.8
621,Motorola,5
622,Samsung,3.3
623,Samsung,3
624,Samsung,3.3
625,Motorola,1
626,Samsung,1
627,Samsung,3.3
628,Samsung,3.3
629,Samsung,3.1
630,Samsung,1.5
631,Apple,2.2
632,Nokia,3.6
633,,3.8
634,Motorola,4.5
635,Xiaomi,4.5
636,Nokia,3.4
637,Xiaomi,4.1
638,Samsung,5
639,Samsung,4.1
640,Samsung,1
641,Samsung,2.4
642,Motorola,4
643,Samsung,5
644,Samsung,4.5
645,OnePlus,4.4
646,Samsung,4.3
647,Samsung,4.7
648,Xiaomi,4.5
649,Xiaomi,4.5
650,Samsung,3.9
651,Samsung,1
652,Samsung,4.3
653,Nokia,3.4
654,Xiaomi,4.6
655,Samsung,4.5
656,HUAWEI,4.3
657,Samsung,4
658,Samsung,4.4
659,Motorola,3.6
660,Samsung,4.7
661,Google,3.1
662,Xiaomi,3.6
663,HUAWEI,4.5
664,Samsung,5
665,Motorola,3.8
666,Samsung,4.1
667,Motorola,3
668,Samsung,3.6
669,Motorola,3.9
670,Motorola,4.4
671,Samsung,4.4
672,Xiaomi,4.6
673,Motorola,3.8
674,Xiaomi,4.4
675,Xiaomi,4.5
676,Xiaomi,4.3
677,Sony,4.1
678,Motorola,5
679,Samsung,4.2
680,Motorola,4.4
681,OnePlus,4.4
682,Samsung,3.7
683,Nokia,4
684,Nokia,4.1
685,Motorola,3.1
686,Samsung,5
687,Motorola,4.3
688,Xiaomi,5
689,Xiaomi,4.7
690,Xiaomi,4.4
691,Xiaomi,4.5
692,Xiaomi,4.5
693,Google,5
694,ASUS,3.7
695,Xiaomi,4.1
696,Xiaomi,4.6
697,Google,4.2
698,Xiaomi,3.7
699,Xiaomi,4.6
700,Samsung,1
701,Samsung,3.3
702,Samsung,3.9
703,Xiaomi,4.6
704,Motorola,4.3
705,Samsung,4.5
706,Samsung,3.5
707,Samsung,2.8
708,Xiaomi,4.4
709,OnePlus,1
710,Samsung,4.4
711,Motorola,4.1
712,Xiaomi,5
713,OnePlus,3.2
714,Google,5
715,Motorola,4.1
716,Apple,5
717,Apple,1
718,Xiaomi,4.6
719,Sony,4.5
720,Apple,5
721,Samsung,5
